"TITLE","YEAR","NAME"
"007 - 00 James Bond Story, The                    ","1999","Sean Connery"
"007 - 00 Never Say Never Again (Sag niemals nie)  ","1983","Sean Connery"
"007 - 01 Dr. No                                   ","1962","Sean Connery"
"007 - 02 From Russia With Love (Liebesgrüsse aus) ","1963","Sean Connery"
"007 - 03 Goldfinger                               ","1964","Sean Connery"
"007 - 04 Thunderball (Feuerball)                  ","1965","Sean Connery"
"007 - 06 On Her Majesty`s Secret Service          ","1969","George Lazenby"
"007 - 07 Diamonds Are Forever (Diamantenfieber)   ","1971","Sean Connery"
"007 - 09 Man with the Golden Gun, The             ","1974","Roger Moore"
"007 - 10 Spy Who Loved Me, The                    ","1977","Roger Moore"
"007 - 11 Moonraker (Moonraker - Streng geheim)    ","1979","Roger Moore"
"007 - 12 For Your Eyes Only (In tödlicher Mission)","1981","Roger Moore"
"007 - 13 Octopussy                                ","1983","Roger Moore"
"007 - 16 Licence to Kill (Lizenz zum Töten)       ","1989","Timothy Dalton"
"007 - 17 GoldenEye                                ","1995","Pierce Brosnan"
"007 - 19 World Is Not Enough, The                 ","1999","Pierce Brosnan"
"007 - 21 Casino Royale                            ","2006","Daniel Craig"
"007 - 22 Quantum of Solace (Ein Quantum Trost)    ","2008"," Anatole Taubman"
"007 - 22 Quantum of Solace (Ein Quantum Trost)    ","2008"," Giancarlo Giannini"
"007 - 22 Quantum of Solace (Ein Quantum Trost)    ","2008"," Jesper Christensen"
"007 - 22 Quantum of Solace (Ein Quantum Trost)    ","2008"," Joaquín Cosio "
"007 - 22 Quantum of Solace (Ein Quantum Trost)    ","2008","Daniel Craig"
"007 - 23 Skyfall                                  ","2012"," Naomie Harris"
"007 - 23 Skyfall                                  ","2012","Daniel Craig"
"10 Dinge, die ich an Dir hasse (10 Things …)      ","1999","Julia Stiles"
"10.000 BC                                         ","2008"," Reece Ritchie"
"10.000 BC                                         ","2008"," Suri van Sornsen"
"10.000 BC                                         ","2008","Steven Strait"
"101 Reykjavik                                     ","2000","Victoria Abril"
"13te Krieger, Der (The 13th Warrior)              ","1999","Antonio Banderas"
"1408                                              ","2007","John Cusack"
"2012                                              ","2009"," Woody Harrelson"
"2012                                              ","2009","John Cusack"
"25 Stunden                                        ","2002"," Tony Siragusa"
"25 Stunden                                        ","2002","Edward Norton"
"27 Dresses                                        ","2008","Katherine Heigl"
"300                                               ","2007","Gerard Butler"
"4400 - die Rückkehrer (Season 1)                  ","2004"," Billy Campbell"
"4400 - die Rückkehrer (Season 1)                  ","2004"," Conchita Campbell"
"4400 - die Rückkehrer (Season 1)                  ","2004"," Joel Gretsch"
"4400 - die Rückkehrer (Season 1)                  ","2004"," Laura Allen"
"4400 - die Rückkehrer (Season 1)                  ","2004"," Patrick Flueger"
"4400 - die Rückkehrer (Season 1)                  ","2004","Mahershalhashbaz Ali"
"4400 - die Rückkehrer (Season 2)                  ","2005","Joel Gretsch"
"4400 - die Rückkehrer (Season 3)                  ","2006","Mahershalhashbaz Ali"
"6 auf einen Streich: Märchenbox 1                 ","2006","Brüderchen & Schwesterchen"
"6 auf einen Streich: Märchenbox 2                 ","2008","Der Froschkönig"
"6 auf einen Streich: Märchenbox 3                 ","2012","Aschenputtel"
"7 Zwerge – Männer allein im Wald                  ","2004"," Atze Schröder"
"7 Zwerge – Männer allein im Wald                  ","2004"," …"
"7 Zwerge – Männer allein im Wald                  ","2004","Otto Waalkes"
"Ab durch die Hecke (Over the Hedge)               ","2006","Stimmen von Bruce Willis"
"Abbitte (Atonement)                               ","2007","Keira Knightley"
"About a Boy                                       ","2002","Hugh Grant"
"Aeon Flux                                         ","2005","Charlize Theron"
"Akte Jane (G.I. Jane)                             ","1997","Demi Moore"
"Aladdin                                           ","1992","Scott Weinger"
"Alatriste                                         ","2006","Viggo Mortensen"
"Alexander                                         ","2004","Colin Farrell"
"Alles ist erleuchtet (Everything Is Illuminated)  ","2005","Elijah Wood"
"Along Came Polly (… und dann kam Polly)           ","2004","Ben Stiller"
"American Princess                                 ","2004","Mandy Moore"
"American, The                                     ","2010","George Clooney"
"Amistad                                           ","1997","Morgan Freeman"
"Anna (TV Serie)                                   ","1987","Silvia Seidel"
"Anna Karenina                                     ","1997","Sophie Marceau"
"Annie                                             ","1982","Albert Finney"
"Apocalypse Now                                    ","1979","Marlon Brando"
"Argo                                              ","2012","Ben Affleck"
"Arielle, die Meerjungfrau                         ","2006","Rene Auberjonois"
"Arn - Der Kreuzritter                             ","2008","Joakim Natterqvist"
"Art of War                                        ","2000","Wesley Snipes"
"Aus nächster Nähe (Up Close & Personal)           ","1996","Robert Redford"
"Australia                                         ","2008","Nicole Kidman"
"Avatar - Aufbruch nach Pandora                    ","2009"," Michelle Rodriguez"
"Avatar - Aufbruch nach Pandora                    ","2009","Sam Worthington"
"Baader Meinhof Komplex, Der                       ","2008","Martina Gedeck"
"Babel                                             ","2006","Cate Blanchett"
"Band of Brothers (Wir waren wie Brüder)           ","2004"," Scot Grimes"
"Band of Brothers (Wir waren wie Brüder)           ","2004","Damian Lewis"
"Bandidas                                          ","2005","Penélope Cruz"
"Barfuss                                           ","2005","Til Schweiger"
"Batman - The Dark Knight                          ","2008"," Morgan Freeman"
"Batman - The Dark Knight                          ","2008","Christian Bale"
"Batman Begins                                     ","2005","Christian Bale"
"Battleship                                        ","2012","Taylor Kitsch"
"Beautifuld                                        ","2001","Russell Crowe"
"Before Sunrise                                    ","1995","Ethan Hawke"
"Benny Hill - The Best of Benny Hill               ","1974","Benny Hill"
"Bernard & Bianca                                  ","2002","Bob Newhart"
"Besessen                                          ","2002"," Toby Stephens"
"Besessen                                          ","2002","Gwyneth Paltrow"
"Best of Me, The                                   ","2014","Michelle Monaghan"
"Bewegte Mann, Der                                 ","1994","Til Schweiger"
"Big Fish                                          ","2003","Ewan McGregor"
"Black Hawk Down                                   ","2001","Tom Sizemore"
"Black Swan                                        ","2010","Natalie Portman"
"Blood Diamond                                     ","2006","Leonardo DiCaprio"
"Blow                                              ","2001","Johnny Depp"
"Bodyguard                                         ","1992","Kevin Costner"
"Bone Collector                                    ","1999","Denzel Washington"
"Bones: Die Knochenjägerin (Season 1)              ","2005","David Boreanaz"
"Bones: Die Knochenjägerin (Season 2)              ","2008","David Boreanaz"
"Bones: Die Knochenjägerin (Season 3)              ","2009","David Boreanaz"
